No,Latitude,Longitude,Altitude,Seg
1,33.937823,-84.442610,0.0,1
2,33.937267,-84.441452,0.0,1
3,33.937526,-84.441272,0.0,1
4,33.937611,-84.441067,0.0,1
5,33.937851,-84.440944,0.0,1
6,33.937827,-84.440797,0.0,1
7,33.937974,-84.440423,0.0,1
8,33.938338,-84.440263,0.0,1
9,33.938513,-84.440109,0.0,1
10,33.938559,-84.439964,0.0,1
11,33.938883,-84.439847,0.0,1
12,33.938821,-84.440229,0.0,1
13,33.938937,-84.440273,0.0,1
14,33.939054,-84.440484,0.0,1
15,33.939101,-84.440700,0.0,1
16,33.939252,-84.440516,0.0,1
17,33.939266,-84.440350,0.0,1
18,33.939374,-84.440217,0.0,1
19,33.939480,-84.440143,0.0,1
20,33.939611,-84.439920,0.0,1
21,33.939659,-84.439826,0.0,1
22,33.939752,-84.439780,0.0,1
23,33.939736,-84.439649,0.0,1
24,33.939840,-84.439540,0.0,1
25,33.939899,-84.439318,0.0,1
26,33.939789,-84.439266,0.0,1
27,33.939852,-84.439169,0.0,1
28,33.939906,-84.439033,0.0,1
29,33.940034,-84.438761,0.0,1
30,33.940125,-84.438556,0.0,1
31,33.940362,-84.438156,0.0,1
32,33.940435,-84.437817,0.0,1
33,33.940198,-84.437733,0.0,1
34,33.939971,-84.437619,0.0,1
35,33.939828,-84.437414,0.0,1
36,33.939509,-84.437252,0.0,1
37,33.939273,-84.437206,0.0,1
38,33.939071,-84.437480,0.0,1
39,33.939038,-84.437717,0.0,1
40,33.938902,-84.437968,0.0,1
41,33.938757,-84.437705,0.0,1
42,33.938638,-84.437394,0.0,1
43,33.938414,-84.437394,0.0,1
44,33.938120,-84.437635,0.0,1
45,33.937949,-84.437618,0.0,1
46,33.938148,-84.437048,0.0,1
47,33.938213,-84.436712,0.0,1
48,33.938178,-84.436459,0.0,1
49,33.937880,-84.436099,0.0,1
50,33.937711,-84.436106,0.0,1
51,33.937506,-84.436182,0.0,1
52,33.937329,-84.437063,0.0,1
53,33.937318,-84.437298,0.0,1
54,33.937048,-84.437517,0.0,1
55,33.936881,-84.437807,0.0,1
56,33.936717,-84.438577,0.0,1
57,33.936575,-84.438772,0.0,1
58,33.936298,-84.438923,0.0,1
59,33.936268,-84.439096,0.0,1
60,33.936321,-84.439575,0.0,1
61,33.936193,-84.439830,0.0,1
62,33.936255,-84.440019,0.0,1
63,33.936238,-84.440197,0.0,1
64,33.936375,-84.440368,0.0,1
65,33.936662,-84.440339,0.0,1
66,33.936996,-84.440665,0.0,1
67,33.937203,-84.441299,0.0,1
68,33.937840,-84.442545,0.0,1
69,33.937823,-84.442610,0.0,1
70,33.937267,-84.441452,0.0,1
71,33.937526,-84.441272,0.0,1
72,33.937611,-84.441067,0.0,1
73,33.937851,-84.440944,0.0,1
74,33.937827,-84.440797,0.0,1
75,33.937974,-84.440423,0.0,1
76,33.938338,-84.440263,0.0,1
77,33.938513,-84.440109,0.0,1
78,33.938559,-84.439964,0.0,1
79,33.938883,-84.439847,0.0,1
80,33.938821,-84.440229,0.0,1
81,33.938937,-84.440273,0.0,1
82,33.939054,-84.440484,0.0,1
83,33.939101,-84.440700,0.0,1
84,33.939252,-84.440516,0.0,1
85,33.939266,-84.440350,0.0,1
86,33.939374,-84.440217,0.0,1
87,33.939480,-84.440143,0.0,1
88,33.939611,-84.439920,0.0,1
89,33.939659,-84.439826,0.0,1
90,33.939752,-84.439780,0.0,1
91,33.939736,-84.439649,0.0,1
92,33.939840,-84.439540,0.0,1
93,33.939899,-84.439318,0.0,1
94,33.939789,-84.439266,0.0,1
95,33.939852,-84.439169,0.0,1
96,33.939906,-84.439033,0.0,1
97,33.940034,-84.438761,0.0,1
98,33.940125,-84.438556,0.0,1
99,33.940362,-84.438156,0.0,1
100,33.940435,-84.437817,0.0,1
101,33.940198,-84.437733,0.0,1
102,33.939971,-84.437619,0.0,1
103,33.939828,-84.437414,0.0,1
104,33.939509,-84.437252,0.0,1
105,33.939273,-84.437206,0.0,1
106,33.939071,-84.437480,0.0,1
107,33.939038,-84.437717,0.0,1
108,33.938902,-84.437968,0.0,1
109,33.938757,-84.437705,0.0,1
110,33.938638,-84.437394,0.0,1
111,33.938414,-84.437394,0.0,1
112,33.938120,-84.437635,0.0,1
113,33.937949,-84.437618,0.0,1
114,33.938148,-84.437048,0.0,1
115,33.938213,-84.436712,0.0,1
116,33.938178,-84.436459,0.0,1
117,33.937880,-84.436099,0.0,1
118,33.937711,-84.436106,0.0,1
119,33.937506,-84.436182,0.0,1
120,33.937393,-84.436569,0.0,1
121,33.937283,-84.437134,0.0,1
122,33.937203,-84.437108,0.0,1
123,33.937145,-84.437148,0.0,1
124,33.937112,-84.437072,0.0,1
125,33.937025,-84.437071,0.0,1
126,33.936989,-84.436996,0.0,1
127,33.936923,-84.437086,0.0,1
128,33.936795,-84.437090,0.0,1
129,33.936614,-84.436946,0.0,1
130,33.936697,-84.436821,0.0,1
131,33.936721,-84.436605,0.0,1
132,33.936859,-84.436557,0.0,1
133,33.936745,-84.436383,0.0,1
134,33.936360,-84.436620,0.0,1
135,33.935907,-84.436781,0.0,1
136,33.935757,-84.436644,0.0,1
137,33.935749,-84.436531,0.0,1
138,33.935615,-84.436473,0.0,1
139,33.935465,-84.436590,0.0,1
140,33.935421,-84.436875,0.0,1
141,33.935188,-84.436897,0.0,1
142,33.935042,-84.437106,0.0,1
143,33.934972,-84.437491,0.0,1
144,33.934628,-84.437639,0.0,1
145,33.934594,-84.438049,0.0,1
146,33.934439,-84.438250,0.0,1
147,33.934552,-84.438509,0.0,1
148,33.934686,-84.438721,0.0,1
149,33.934733,-84.439012,0.0,1
150,33.934794,-84.439267,0.0,1
151,33.934996,-84.439627,0.0,1
152,33.935139,-84.439673,0.0,1
153,33.935430,-84.439610,0.0,1
