"Date","Miles","Bike","Maintenance"
2013-06-18,20,"J",
2013-06-19,23,"J",
2013-06-21,16.44,"J","new brake pads, front and rear; bike computer"
2013-06-22,78.61,"J",
2013-06-23,21.29,"J",
2013-06-24,12.36,"J",
2013-06-25,30.44,"J",
2013-06-28,23.51,"J",
2013-06-29,11.98,"J","new rear tire"
2013-06-30,71.88,"J","new chain"
2013-07-01,19.19,"J",
2013-07-02,15.04,"J",
2013-07-03,7.81,"J",
2013-07-04,7.89,"RockHopper",
2013-07-05,23.43,"J",
2013-07-09,14.21,"J",
2013-07-10,8.49,"J",
2013-07-11,6.30,"J",
2013-07-13,7.19,"J",
2013-07-14,24.35,"J",
2013-07-16,9.41,"J","new rear brake cable; new back part of rear brake housing (silver); adjusted spring in rear brake arms"
2013-07-17,10.64,"J",
2013-07-18,5.76,"J",
2013-07-19,10.55,"J",
2013-07-20,22.43,"J",
2013-07-22,18.55,"J",
2013-07-24,9.29,"J",
2013-07-25,8.35,"J",
2013-07-26,11.66,"J",
2013-07-27,27.60,"J",
2013-07-28,7.71,"J",
2013-07-30,16.09,"J",
2013-07-31,8.50,"J",
2013-08-01,2.18,"J",
2013-08-02,21.82,"J",
2013-08-03,8.15,"J",
2013-08-04,17.56,"J",
2013-08-05,5.18,"J",
2013-08-06,17.29,"J",
2013-08-09,22.09,"J",
2013-08-10,9.02,"J",
2013-08-12,13.85,"J",
2013-08-13,18.52,"J",
2013-08-15,4.99,"J",
2013-08-16,21.75,"J",
2013-08-17,15.51,"J",
2013-08-19,12.21,"J",
2013-08-20,10.29,"J",
2013-08-21,9.89,"J",
2013-08-22,14.72,"J",
2013-08-24,17.34,"J",
2013-08-25,6.62,"J",
2013-08-26,8.53,"J",
2013-09-02,3.9,"Rockhopper",
2013-09-06,8.82,"J",
2013-09-10,3.98,"J",
2013-09-11,5.26,"J",
2013-09-12,2.18,"J",
2013-09-13,28.31,"J",
2013-09-14,6.04,"J",
2013-09-15,12.30,"J",
2013-09-18,1.67,"J",
2013-09-20,8.32,"J",
2013-09-23,9.38,"J",
2013-09-25,3.54,"J",
2013-10-02,17.03,"J",
2013-10-03,9.92,"J",
2013-10-04,7.55,"J",
2013-10-05,3.3,"Rockhopper",
2013-10-06,3.3,"Rockhopper",
2013-10-07,11.71,"J",
2013-10-12,19.71,"J",
2013-10-13,5.12,"J",
2013-10-17,5.19,"J",
2013-10-20,8.40,"J",
2013-10-21,10.73,"J",
2013-10-23,2.06,"J",
2013-10-24,12.72,"J",
2013-10-25,29.68,"J",
2013-10-26,7.19,"J",
2013-10-31,20.09,"J",
2013-11-01,12.51,"J",
2013-11-03,13.16,"J",
2013-11-05,6.73,"J",
2013-11-06,3.54,"J",
2013-11-07,19.13,"J",
2013-11-08,3.15,"J",
2013-11-09,1.5,"J",
2013-11-10,7.45,"J",
2013-11-11,4.05,"J",
2013-11-13,12.19,"J",
2013-11-14,3.70,"J",
2013-11-15,4.3,"Rockhopper",
2013-11-16,3.82,"J",
2013-11-17,4.51,"J",
2013-11-18,18.15,"J",
2013-11-19,5.14,"J",
2013-11-21,9.82,"J",
2013-11-25,9.00,"Rockhopper",
2013-12-04,5.35,"Rockhopper",
2014-04-04,4.14,"J",
2014-04-05,5.02,"J",
2014-04-12,2.63,"J",
2014-04-13,20.54,"J",
2014-04-20,16.67,"J",
2014-04-21,1.92,"J",
2014-04-25,15.13,"J",
2014-04-27,6.53,"J",
2014-04-28,2.30,"J",
2014-04-29,1.59,"J",
2014-05-01,2.39,"J",
2014-05-02,7.01,"J",
2014-05-03,4.71,"J",
2014-05-04,3.16,"J",
2014-05-06,8.38,"J",
2014-05-07,3.07,"J",
2014-05-09,3.25,"J",
2014-05-13,2.30,"J",
2014-05-14,2.40,"J",
2014-05-16,4.44,"J",
2014-05-18,18.36,"J",
2014-05-19,11.78,"J",
2014-05-24,3.29,"J",
2014-06-03,9.52,"J",
2014-06-04,5.47,"J",
2014-06-05,4.92,"J",
2014-06-07,16.19,"J",
2014-06-11,3.89,"J",
2014-06-14,10.30,"J",
2014-06-17,8.74,"J",
2014-06-21,16.65,"J",
2014-06-27,1.30,"J",
2014-06-30,3.94,"J",
2014-07-04,3.50,"J",
2014-07-05,15.01,"J",
2014-07-06,10.88,"J",
2014-07-08,9.47,"J",
2014-07-14,10.80,"J",
2014-07-17,5.54,"J",
2014-07-18,8.45,"J",
2014-07-22,7.25,"J",
2014-07-23,1.25,"J",
2014-07-24,7.10,"J",
2014-07-26,14.23,"J",
2014-07-27,6.21,"J",
2014-08-02,12.49,"J",
2014-08-03,12.39,"J",
2014-08-06,5.37,"J",
2014-08-09,11.1,"J",
2014-08-10,10.39,"J",
2014-08-12,4.01,"J",
2014-08-14,11.35,"J",
2014-08-15,7.02,"J",
2014-08-16,8.63,"J",
2014-08-17,3.36,"J",
2014-08-22,4.30,"J",
2014-08-23,9.66,"J",
2014-08-28,5.03,"J",
2014-08-29,4.6,"Rockhopper",
2014-08-30,4.6,"Rockhopper",
2014-08-31,4.6,"Rockhopper",
2014-09-01,4.6,"Rockhopper",
2014-09-03,4.77,"J",
2014-09-09,3.93,"J",
2014-09-10,12.24,"J",
2014-09-13,10.10,"J",
2014-09-15,11.50,"J",
2014-09-18,20.58,"J",
2014-09-19,6.14,"J",
2014-09-20,9.30,"J",
2014-09-22,12.54,"J",
2014-09-24,2.63,"J",
2014-09-25,13.65,"J",
2014-09-27,4.27,"J",
2014-09-28,5.95,"J",
2014-09-30,7.69,"J",
2014-10-01,4.16,"J",
2014-10-02,17.63,"J",
2014-10-03,24.99,"J",
2014-10-04,15.12,"J","plus before Sloss Furnaces"
2014-10-05,12.14,"J",
2014-10-06,23.82,"J",
2014-10-07,6.64,"J",
2014-10-08,7.47,"J",
2014-10-09,10.43,"J",
2014-10-10,11.87,"J",
2014-10-11,12.62,"J",
2014-10-14,3.30,"J",
2014-10-15,4.03,"J",
2014-10-18,16.65,"J",
2014-10-19,9.50,"J",
2014-10-20,14.69,"J",
2014-10-21,7.33,"J",
2014-10-23,4.18,"J",
2014-10-26,19.66,"J",
2014-10-28,11.10,"J",
2014-10-29,3.45,"J",
2014-10-30,9.32,"J",
2014-11-01,11.91,"J",
2014-11-09,12.01,"J",
2014-11-24,6.71,"J",
2014-11-29,11.50,"J",
2014-12-02,18.14,"J",
2015-01-04,14.94,"J",
2015-01-05,4.76,"J",
2015-01-06,4.85,"J",
2015-01-12,4.84,"J",
2015-01-13,4.86,"J",
2015-01-14,4.86,"J",
2015-01-15,4.85,"J",
2015-01-16,4.85,"J",
2015-01-17,6.52,"J",
2015-01-20,4.85,"J",
2015-01-21,4.85,"J",
2015-01-22,4.85,"J",
2015-01-26,4.85,"J",
2015-02-01,5.80,"J",
2015-02-02,4.84,"J",
2015-02-03,5.06,"J",
2015-02-04,4.84,"J",
2015-02-05,5.79,"J",
2015-02-06,6.8,"J",
2015-02-07,4.30,"J",
2015-02-09,4.85,"J",
2015-02-10,4.85,"J",
2015-02-11,4.85,"J",
2015-02-28,5.79,"J",
2015-03-04,4.85,"J",
2015-03-06,4.85,"J",
2015-03-07,4.85,"J",
2015-03-08,4.85,"J",
2015-03-09,4.85,"J",
2015-03-16,8.09,"J",
2015-03-17,4.85,"J",
2015-03-18,4.85,"J",
2015-03-24,9.74,"J",
2015-03-25,6.60,"J",
2015-03-26,7.38,"J",
2015-03-27,4.63,"J",
2015-04-11,6.34,"J",
2015-04-18,9.74,"J",
2015-04-25,14.08,"J",
2015-05-02,17.98,"J",
2015-05-06,5.45,"J",
2015-05-08,3.22,"J",
2015-05-09,3.13,"J",
2015-05-10,25.50,"J",
2015-05-15,5.98,"J",
2015-05-16,16.77,"J",
2015-05-17,4.52,"J",
