No,Latitude,Longitude,Altitude,Date,Time
1,33.868955,-84.333071,305.0,2013/03/30,07:13:22
2,33.868926,-84.333510,304.7,2013/03/30,07:13:25
3,33.868887,-84.333424,304.2,2013/03/30,07:13:41
4,33.868821,-84.333332,303.9,2013/03/30,07:13:44
5,33.868759,-84.333228,303.6,2013/03/30,07:13:47
6,33.868639,-84.333119,303.4,2013/03/30,07:13:49
7,33.868561,-84.333015,302.9,2013/03/30,07:13:51
8,33.868562,-84.332824,302.5,2013/03/30,07:13:53
9,33.868495,-84.332719,302.0,2013/03/30,07:13:56
10,33.868455,-84.332634,301.5,2013/03/30,07:13:58
11,33.868415,-84.332507,301.5,2013/03/30,07:14:01
12,33.868469,-84.332420,301.5,2013/03/30,07:14:05
13,33.868565,-84.332401,301.5,2013/03/30,07:14:07
14,33.868640,-84.332343,301.7,2013/03/30,07:14:09
15,33.868734,-84.332294,301.5,2013/03/30,07:14:11
16,33.868854,-84.332249,301.4,2013/03/30,07:14:13
17,33.868956,-84.332182,301.2,2013/03/30,07:14:15
18,33.869047,-84.332118,301.0,2013/03/30,07:14:17
19,33.869130,-84.332118,300.8,2013/03/30,07:14:19
20,33.869222,-84.332035,300.6,2013/03/30,07:14:23
21,33.869236,-84.331910,300.5,2013/03/30,07:14:34
22,33.869243,-84.331811,300.1,2013/03/30,07:15:41
23,33.869211,-84.331714,299.7,2013/03/30,07:15:45
24,33.869168,-84.331609,299.4,2013/03/30,07:15:48
25,33.869116,-84.331493,299.0,2013/03/30,07:15:51
26,33.869035,-84.331454,299.0,2013/03/30,07:15:53
27,33.868938,-84.331482,299.0,2013/03/30,07:15:56
28,33.868838,-84.331522,299.0,2013/03/30,07:15:59
29,33.868733,-84.331588,299.0,2013/03/30,07:16:04
30,33.868639,-84.331640,299.0,2013/03/30,07:16:07
31,33.868557,-84.331656,299.0,2013/03/30,07:16:11
32,33.868474,-84.331692,299.0,2013/03/30,07:16:15
33,33.868388,-84.331729,299.3,2013/03/30,07:16:19
34,33.868262,-84.331772,299.5,2013/03/30,07:16:22
35,33.868185,-84.331810,299.8,2013/03/30,07:16:24
36,33.868103,-84.331858,300.1,2013/03/30,07:16:26
37,33.868010,-84.331910,300.4,2013/03/30,07:16:28
38,33.867921,-84.331937,300.6,2013/03/30,07:16:30
39,33.867824,-84.331964,300.9,2013/03/30,07:16:32
40,33.867711,-84.331991,301.2,2013/03/30,07:16:34
41,33.867645,-84.332048,301.5,2013/03/30,07:16:36
42,33.867552,-84.331987,301.7,2013/03/30,07:16:40
43,33.867464,-84.331919,302.0,2013/03/30,07:16:42
44,33.867394,-84.331817,302.0,2013/03/30,07:16:45
45,33.867383,-84.331715,302.0,2013/03/30,07:16:47
46,33.867315,-84.331598,302.1,2013/03/30,07:16:50
47,33.867260,-84.331500,302.2,2013/03/30,07:16:52
48,33.867214,-84.331408,302.3,2013/03/30,07:16:54
49,33.867187,-84.331308,302.4,2013/03/30,07:16:56
50,33.867109,-84.331248,302.5,2013/03/30,07:16:58
51,33.866987,-84.331283,302.5,2013/03/30,07:17:00
52,33.866851,-84.331347,302.5,2013/03/30,07:17:02
53,33.866713,-84.331426,302.5,2013/03/30,07:17:04
54,33.866583,-84.331509,302.5,2013/03/30,07:17:05
55,33.866415,-84.331560,302.5,2013/03/30,07:17:07
56,33.866348,-84.331631,302.5,2013/03/30,07:17:08
57,33.866212,-84.331705,302.5,2013/03/30,07:17:10
58,33.866107,-84.331773,302.8,2013/03/30,07:17:12
59,33.866004,-84.331798,303.2,2013/03/30,07:17:15
60,33.865926,-84.331844,303.1,2013/03/30,07:17:15
61,33.865810,-84.331966,303.0,2013/03/30,07:17:17
62,33.865710,-84.332056,302.9,2013/03/30,07:17:19
63,33.865606,-84.332115,302.9,2013/03/30,07:17:21
64,33.865494,-84.332151,302.9,2013/03/30,07:17:23
65,33.865389,-84.332221,302.9,2013/03/30,07:17:25
66,33.865283,-84.332259,302.7,2013/03/30,07:17:27
67,33.865158,-84.332239,302.5,2013/03/30,07:17:28
68,33.864952,-84.332278,302.4,2013/03/30,07:17:30
69,33.864855,-84.332290,301.7,2013/03/30,07:17:31
70,33.864735,-84.332370,301.1,2013/03/30,07:17:33
71,33.864572,-84.332385,300.9,2013/03/30,07:17:35
72,33.864486,-84.332374,300.7,2013/03/30,07:17:36
73,33.864333,-84.332393,300.5,2013/03/30,07:17:39
74,33.864253,-84.332352,300.6,2013/03/30,07:17:41
75,33.864154,-84.332364,300.7,2013/03/30,07:18:14
76,33.864058,-84.332377,300.8,2013/03/30,07:18:18
77,33.863970,-84.332368,301.1,2013/03/30,07:18:22
78,33.863863,-84.332375,301.4,2013/03/30,07:18:26
79,33.863778,-84.332390,301.6,2013/03/30,07:18:31
80,33.863690,-84.332404,301.9,2013/03/30,07:18:38
81,33.863592,-84.332387,301.6,2013/03/30,07:18:41
82,33.863487,-84.332408,301.4,2013/03/30,07:18:45
83,33.863269,-84.332404,301.1,2013/03/30,07:18:48
84,33.863139,-84.332394,300.8,2013/03/30,07:18:50
85,33.863058,-84.332412,300.3,2013/03/30,07:18:51
86,33.862922,-84.332420,299.7,2013/03/30,07:18:53
87,33.862809,-84.332445,299.2,2013/03/30,07:18:54
88,33.862647,-84.332455,298.2,2013/03/30,07:18:56
89,33.862549,-84.332453,297.2,2013/03/30,07:18:57
90,33.862348,-84.332449,296.2,2013/03/30,07:18:59
91,33.862232,-84.332449,295.2,2013/03/30,07:19:00
92,33.862142,-84.332448,294.7,2013/03/30,07:19:01
93,33.862045,-84.332449,294.3,2013/03/30,07:19:02
94,33.861917,-84.332486,293.8,2013/03/30,07:19:04
95,33.861838,-84.332515,293.4,2013/03/30,07:19:09
96,33.861802,-84.332419,292.9,2013/03/30,07:19:24
97,33.861756,-84.332321,292.5,2013/03/30,07:19:26
