No,Latitude,Longitude,Altitude,Heartrate,Cadence,Date,Time,Seg
1,33.873202,-84.328544,297.2,,,2011/05/26,09:58:27,
2,33.873359,-84.328188,296.7,,,2011/05/26,09:58:32,1
3,33.873592,-84.327621,296.2,,,2011/05/26,09:58:39,1
4,33.873637,-84.327505,295.7,,,2011/05/26,09:58:41,1
5,33.87358,-84.327303,298.1,,,2011/05/26,09:58:46,1
6,33.873513,-84.327271,298.1,,,2011/05/26,09:58:47,1
7,33.873151,-84.32709,300.5,,,2011/05/26,09:58:53,1
8,33.872984,-84.327014,305.4,,,2011/05/26,09:58:57,1
9,33.872779,-84.326941,305.4,,,2011/05/26,09:59:00,1
10,33.872353,-84.326828,304.9,,,2011/05/26,09:59:05,1
11,33.872285,-84.326818,304.4,,,2011/05/26,09:59:06,1
12,33.872068,-84.32682,300.5,,,2011/05/26,09:59:09,1
13,33.87193,-84.326808,299.6,,,2011/05/26,09:59:11,1
14,33.871483,-84.326762,294.8,,,2011/05/26,09:59:17,1
15,33.87133,-84.326765,292.9,,,2011/05/26,09:59:19,1
16,33.870871,-84.326773,288.1,,,2011/05/26,09:59:25,1
17,33.870718,-84.326751,288.5,,,2011/05/26,09:59:27,1
18,33.870461,-84.32676,289,,,2011/05/26,09:59:31,1
19,33.870394,-84.32694,286.6,,,2011/05/26,09:59:35,1
20,33.870386,-84.326995,286.6,,,2011/05/26,09:59:36,1
21,33.870372,-84.327194,287.1,,,2011/05/26,09:59:40,1
22,33.870321,-84.327426,285.2,,,2011/05/26,09:59:46,1
23,33.870299,-84.327645,281.8,,,2011/05/26,09:59:50,1
24,33.87028,-84.327821,278.4,,,2011/05/26,09:59:53,1
25,33.870183,-84.327986,280.4,,,2011/05/26,09:59:57,1
26,33.870029,-84.328215,279.4,,,2011/05/26,10:00:03,1
27,33.869912,-84.328308,278.9,,,2011/05/26,10:00:06,1
28,33.869652,-84.32837,287.1,,,2011/05/26,10:00:11,1
29,33.869106,-84.328343,288.5,,,2011/05/26,10:00:21,1
30,33.86882,-84.328333,288.5,,,2011/05/26,10:00:26,1
31,33.868662,-84.328337,288.5,,,2011/05/26,10:00:29,1
32,33.868484,-84.328359,286.1,,,2011/05/26,10:00:32,1
33,33.867992,-84.328449,285.2,,,2011/05/26,10:00:40,1
34,33.867785,-84.328416,286.1,,,2011/05/26,10:00:43,1
35,33.867332,-84.328181,287.1,,,2011/05/26,10:00:50,1
36,33.867038,-84.327954,290.5,,,2011/05/26,10:00:55,1
37,33.866875,-84.32778,296.2,,,2011/05/26,10:00:59,1
38,33.866705,-84.327605,299.6,,,2011/05/26,10:01:04,1
39,33.866605,-84.327516,300.1,,,2011/05/26,10:01:07,1
40,33.866422,-84.327306,301,,,2011/05/26,10:01:13,1
