No,Latitude,Longitude,Altitude,Depth,Heartrate,Date,Time
11564,33.745491,-84.369526,328.4,0.000,,2013/03/09,16:16:05
11565,33.745551,-84.369595,320.3,0.000,,2013/03/09,16:16:11
11566,33.745551,-84.369682,320.7,0.000,,2013/03/09,16:16:14
11567,33.745543,-84.369961,317.9,0.000,,2013/03/09,16:16:19
11568,33.745545,-84.370222,316.4,0.000,,2013/03/09,16:16:23
11569,33.745545,-84.370830,320.3,0.000,,2013/03/09,16:16:32
11570,33.745538,-84.371114,316.9,0.000,,2013/03/09,16:16:37
11571,33.745551,-84.371495,312.6,0.000,,2013/03/09,16:16:44
11572,33.745565,-84.371852,312.1,0.000,,2013/03/09,16:16:50
11573,33.745595,-84.372094,315.9,0.000,,2013/03/09,16:16:54
11574,33.745595,-84.372399,317.4,0.000,,2013/03/09,16:17:00
11575,33.745577,-84.372758,314.0,0.000,,2013/03/09,16:17:08
11576,33.745557,-84.373009,311.6,0.000,,2013/03/09,16:17:14
11577,33.745562,-84.373199,310.2,0.000,,2013/03/09,16:17:18
11578,33.745563,-84.373279,310.2,0.000,,2013/03/09,16:17:22
11579,33.745554,-84.373325,309.7,0.000,,2013/03/09,16:17:24
11580,33.745388,-84.373441,309.7,0.000,,2013/03/09,16:17:29
11581,33.745178,-84.373431,308.7,0.000,,2013/03/09,16:17:34
11582,33.745133,-84.373425,308.7,0.000,,2013/03/09,16:17:35
11583,33.744686,-84.373404,310.6,0.000,,2013/03/09,16:17:44
11584,33.744496,-84.373387,314.5,0.000,,2013/03/09,16:17:47
11585,33.744218,-84.373370,320.3,0.000,,2013/03/09,16:17:52
11586,33.743942,-84.373352,321.7,0.000,,2013/03/09,16:17:57
11587,33.743613,-84.373368,318.8,0.000,,2013/03/09,16:18:02
11588,33.743176,-84.373403,315.9,0.000,,2013/03/09,16:18:09
11589,33.743009,-84.373401,315.4,0.000,,2013/03/09,16:18:12
11590,33.742711,-84.373347,315.0,0.000,,2013/03/09,16:18:16
11591,33.742433,-84.373328,317.9,0.000,,2013/03/09,16:18:20
11592,33.742295,-84.373354,315.0,0.000,,2013/03/09,16:18:23
11593,33.741955,-84.373477,309.7,0.000,,2013/03/09,16:18:30
11594,33.741909,-84.373500,309.7,0.000,,2013/03/09,16:18:31
11595,33.741775,-84.373552,307.8,0.000,,2013/03/09,16:18:34
11596,33.741643,-84.373605,305.8,0.000,,2013/03/09,16:18:39
11597,33.741415,-84.373659,303.9,0.000,,2013/03/09,16:18:44
11598,33.741373,-84.373660,303.0,0.000,,2013/03/09,16:18:45
11599,33.740998,-84.373668,299.6,0.000,,2013/03/09,16:18:50
11600,33.740632,-84.373656,297.2,0.000,,2013/03/09,16:18:55
11601,33.740241,-84.373660,295.3,0.000,,2013/03/09,16:18:59
11602,33.739702,-84.373660,293.8,0.000,,2013/03/09,16:19:04
11603,33.739198,-84.373641,297.2,0.000,,2013/03/09,16:19:09
11604,33.738675,-84.373678,294.8,0.000,,2013/03/09,16:19:15
11605,33.738378,-84.373690,294.3,0.000,,2013/03/09,16:19:19
11606,33.737987,-84.373693,294.3,0.000,,2013/03/09,16:19:25
11607,33.737819,-84.373697,294.8,0.000,,2013/03/09,16:19:28
11608,33.737657,-84.373705,296.2,0.000,,2013/03/09,16:19:31
11609,33.737477,-84.373697,296.7,0.000,,2013/03/09,16:19:35
11610,33.737219,-84.373698,297.2,0.000,,2013/03/09,16:19:41
11611,33.737183,-84.373700,297.2,0.000,,2013/03/09,16:19:42
11612,33.736948,-84.373690,299.1,0.000,,2013/03/09,16:19:49
11613,33.736786,-84.373697,298.1,0.000,,2013/03/09,16:19:55
11614,33.736717,-84.373716,298.1,0.000,,2013/03/09,16:19:58
11615,33.736669,-84.373819,297.2,0.000,,2013/03/09,16:20:02
11616,33.736681,-84.374143,296.2,0.000,,2013/03/09,16:20:10
11617,33.736682,-84.374352,294.3,0.000,,2013/03/09,16:20:16
11618,33.736684,-84.374640,294.8,0.000,,2013/03/09,16:20:24
11619,33.736686,-84.374813,294.8,0.000,,2013/03/09,16:20:29
11620,33.736684,-84.375035,295.3,0.000,,2013/03/09,16:20:36
11621,33.736685,-84.375247,296.2,0.000,,2013/03/09,16:20:42
11622,33.736678,-84.375492,299.6,0.000,,2013/03/09,16:20:48
11623,33.736689,-84.375763,305.4,0.000,,2013/03/09,16:20:54
11624,33.736689,-84.376126,306.8,0.000,,2013/03/09,16:21:02
11625,33.736697,-84.376570,310.6,0.000,,2013/03/09,16:21:10
11626,33.736712,-84.376795,309.7,0.000,,2013/03/09,16:21:15
11627,33.736718,-84.376932,307.8,0.000,,2013/03/09,16:21:20
11628,33.736723,-84.377174,306.3,0.000,,2013/03/09,16:21:25
11629,33.736740,-84.377636,304.4,0.000,,2013/03/09,16:21:32
11630,33.736757,-84.378219,302.0,0.000,,2013/03/09,16:21:39
11631,33.736774,-84.378965,297.2,0.000,,2013/03/09,16:21:47
11632,33.736780,-84.379453,293.3,0.000,,2013/03/09,16:21:52
11633,33.736807,-84.380090,288.5,0.000,,2013/03/09,16:21:58
11634,33.736813,-84.380816,284.7,0.000,,2013/03/09,16:22:04
11635,33.736823,-84.381439,284.7,0.000,,2013/03/09,16:22:10
11636,33.736835,-84.381856,280.8,0.000,,2013/03/09,16:22:15
11637,33.736839,-84.381931,281.3,0.000,,2013/03/09,16:22:16
11638,33.736861,-84.382148,280.8,0.000,,2013/03/09,16:22:19
11639,33.736868,-84.382277,280.4,0.000,,2013/03/09,16:22:21
11640,33.736858,-84.382823,283.2,0.000,,2013/03/09,16:22:29
11641,33.736859,-84.383389,285.6,0.000,,2013/03/09,16:22:38
11642,33.736862,-84.383836,288.1,0.000,,2013/03/09,16:22:46
11643,33.736854,-84.384170,289.5,0.000,,2013/03/09,16:22:52
11644,33.736869,-84.384616,290.9,0.000,,2013/03/09,16:23:00
11645,33.736870,-84.385064,291.4,0.000,,2013/03/09,16:23:08
11646,33.736870,-84.385624,294.3,0.000,,2013/03/09,16:23:18
11647,33.736863,-84.385777,295.3,0.000,,2013/03/09,16:23:21
11648,33.736877,-84.386236,296.7,0.000,,2013/03/09,16:23:30
11649,33.736911,-84.386647,297.2,0.000,,2013/03/09,16:23:38
11650,33.736916,-84.387016,297.2,0.000,,2013/03/09,16:23:44
11651,33.736929,-84.387496,294.8,0.000,,2013/03/09,16:23:52
11652,33.736948,-84.387664,293.8,0.000,,2013/03/09,16:23:57
11653,33.736955,-84.387721,294.3,0.000,,2013/03/09,16:24:03
11654,33.736951,-84.387775,299.6,0.000,,2013/03/09,16:24:35
11655,33.736978,-84.387896,299.1,0.000,,2013/03/09,16:24:39
11656,33.737056,-84.388170,298.6,0.000,,2013/03/09,16:24:44
11657,33.737285,-84.388554,297.2,0.000,,2013/03/09,16:24:51
11658,33.737463,-84.388956,296.2,0.000,,2013/03/09,16:24:57
11659,33.737537,-84.389348,294.8,0.000,,2013/03/09,16:25:02
11660,33.737516,-84.389731,292.9,0.000,,2013/03/09,16:25:07
11661,33.737368,-84.390175,292.9,0.000,,2013/03/09,16:25:13
11662,33.737191,-84.390446,290.0,0.000,,2013/03/09,16:25:18
11663,33.737114,-84.390552,288.1,0.000,,2013/03/09,16:25:21
11664,33.737090,-84.390601,289.0,0.000,,2013/03/09,16:25:26
11665,33.737068,-84.390654,289.0,0.000,,2013/03/09,16:25:35
11666,33.737028,-84.390740,288.5,0.000,,2013/03/09,16:25:42
11667,33.737011,-84.390769,289.5,0.000,,2013/03/09,16:25:56
11668,33.736991,-84.390830,290.9,0.000,,2013/03/09,16:26:06
11669,33.736970,-84.390928,290.5,0.000,,2013/03/09,16:26:10
11670,33.736952,-84.391154,288.5,0.000,,2013/03/09,16:26:15
11671,33.736946,-84.391487,286.6,0.000,,2013/03/09,16:26:21
11672,33.736928,-84.391756,290.9,0.000,,2013/03/09,16:26:26
11673,33.736983,-84.391957,287.1,0.000,,2013/03/09,16:26:31
11674,33.736963,-84.392151,283.7,0.000,,2013/03/09,16:26:37
11675,33.736972,-84.392356,281.8,0.000,,2013/03/09,16:26:42
11676,33.736956,-84.392552,287.6,0.000,,2013/03/09,16:26:48
11677,33.736951,-84.392823,289.0,0.000,,2013/03/09,16:26:54
11678,33.736932,-84.393032,290.5,0.000,,2013/03/09,16:27:00
11679,33.736920,-84.393289,293.3,0.000,,2013/03/09,16:27:08
11680,33.736923,-84.393395,294.8,0.000,,2013/03/09,16:27:15
11681,33.736926,-84.393411,298.1,0.000,,2013/03/09,16:27:42
11682,33.736926,-84.393466,297.2,0.000,,2013/03/09,16:27:47
11683,33.736922,-84.393653,297.7,0.000,,2013/03/09,16:27:52
11684,33.736933,-84.393909,296.2,0.000,,2013/03/09,16:27:59
11685,33.736941,-84.394189,295.3,0.000,,2013/03/09,16:28:07
11686,33.736931,-84.394415,296.2,0.000,,2013/03/09,16:28:13
11687,33.736933,-84.394775,297.7,0.000,,2013/03/09,16:28:22
11688,33.736934,-84.395091,297.7,0.000,,2013/03/09,16:28:30
11689,33.736936,-84.395321,298.6,0.000,,2013/03/09,16:28:36
11690,33.736943,-84.395651,299.6,0.000,,2013/03/09,16:28:44
11691,33.736955,-84.395945,299.1,0.000,,2013/03/09,16:28:52
11692,33.736962,-84.396249,302.0,0.000,,2013/03/09,16:29:00
11693,33.736982,-84.396536,303.4,0.000,,2013/03/09,16:29:08
11694,33.736994,-84.396803,303.4,0.000,,2013/03/09,16:29:16
11695,33.737001,-84.397090,304.9,0.000,,2013/03/09,16:29:24
11696,33.737008,-84.397361,306.3,0.000,,2013/03/09,16:29:31
11697,33.737032,-84.397590,304.9,0.000,,2013/03/09,16:29:37
11698,33.737029,-84.397884,304.4,0.000,,2013/03/09,16:29:43
11699,33.737020,-84.398285,304.9,0.000,,2013/03/09,16:29:51
11700,33.737030,-84.398630,303.9,0.000,,2013/03/09,16:29:57
11701,33.737044,-84.398970,303.0,0.000,,2013/03/09,16:30:03
11702,33.737046,-84.399381,302.0,0.000,,2013/03/09,16:30:10
11703,33.737078,-84.399663,300.1,0.000,,2013/03/09,16:30:16
11704,33.737092,-84.399992,300.5,0.000,,2013/03/09,16:30:23
11705,33.737108,-84.400336,297.2,0.000,,2013/03/09,16:30:31
11706,33.737118,-84.400906,298.6,0.000,,2013/03/09,16:30:41
11707,33.737128,-84.401442,300.1,0.000,,2013/03/09,16:30:50
11708,33.737140,-84.402025,301.5,0.000,,2013/03/09,16:30:59
11709,33.737162,-84.402522,299.1,0.000,,2013/03/09,16:31:06
11710,33.737097,-84.403078,296.7,0.000,,2013/03/09,16:31:13
11711,33.736973,-84.403596,297.7,0.000,,2013/03/09,16:31:19
11712,33.736878,-84.403891,296.7,0.000,,2013/03/09,16:31:23
11713,33.736756,-84.404256,299.6,0.000,,2013/03/09,16:31:27
11714,33.736678,-84.404766,298.6,0.000,,2013/03/09,16:31:34
11715,33.736709,-84.405320,297.7,0.000,,2013/03/09,16:31:41
11716,33.736811,-84.405776,294.8,0.000,,2013/03/09,16:31:47
11717,33.736997,-84.406180,294.8,0.000,,2013/03/09,16:31:53
11718,33.737164,-84.406406,297.2,0.000,,2013/03/09,16:31:58
11719,33.737299,-84.406591,299.6,0.000,,2013/03/09,16:32:03
11720,33.737388,-84.406703,300.1,0.000,,2013/03/09,16:32:06
11721,33.737622,-84.407067,303.0,0.000,,2013/03/09,16:32:15
11722,33.737646,-84.407102,303.4,0.000,,2013/03/09,16:32:16
11723,33.737704,-84.407217,304.9,0.000,,2013/03/09,16:32:19
11724,33.737929,-84.407595,306.8,0.000,,2013/03/09,16:32:29
11725,33.738040,-84.407739,308.2,0.000,,2013/03/09,16:32:37
11726,33.738065,-84.407778,308.7,0.000,,2013/03/09,16:32:40
11727,33.738080,-84.407838,316.9,0.000,,2013/03/09,16:32:49
11728,33.738212,-84.408036,316.4,0.000,,2013/03/09,16:32:55
11729,33.738280,-84.408263,315.0,0.000,,2013/03/09,16:33:00
11730,33.738284,-84.408516,314.0,0.000,,2013/03/09,16:33:05
11731,33.738282,-84.408619,313.5,0.000,,2013/03/09,16:33:07
11732,33.738321,-84.408890,312.1,0.000,,2013/03/09,16:33:12
11733,33.738317,-84.409237,310.2,0.000,,2013/03/09,16:33:18
11734,33.738300,-84.409674,311.1,0.000,,2013/03/09,16:33:25
11735,33.738330,-84.410056,308.7,0.000,,2013/03/09,16:33:32
11736,33.738324,-84.410371,309.7,0.000,,2013/03/09,16:33:37
11737,33.738344,-84.410919,311.1,0.000,,2013/03/09,16:33:46
11738,33.738341,-84.410986,311.6,0.000,,2013/03/09,16:33:47
11739,33.738312,-84.411645,319.3,0.000,,2013/03/09,16:33:58
11740,33.738330,-84.411901,317.9,0.000,,2013/03/09,16:34:05
11741,33.738333,-84.412184,318.3,0.000,,2013/03/09,16:34:12
11742,33.738351,-84.412459,316.4,0.000,,2013/03/09,16:34:18
11743,33.738368,-84.412578,312.6,0.000,,2013/03/09,16:34:21
11744,33.738368,-84.412863,308.7,0.000,,2013/03/09,16:34:26
11745,33.738338,-84.413186,310.6,0.000,,2013/03/09,16:34:31
11746,33.738327,-84.413644,313.5,0.000,,2013/03/09,16:34:39
11747,33.738333,-84.414228,313.0,0.000,,2013/03/09,16:34:50
11748,33.738318,-84.414601,315.0,0.000,,2013/03/09,16:34:56
11749,33.738318,-84.415145,315.0,0.000,,2013/03/09,16:35:05
11750,33.738312,-84.415804,315.9,0.000,,2013/03/09,16:35:16
11751,33.738282,-84.416210,315.9,0.000,,2013/03/09,16:35:23
11752,33.738233,-84.416652,316.9,0.000,,2013/03/09,16:35:31
11753,33.738151,-84.417146,322.2,0.000,,2013/03/09,16:35:41
11754,33.738124,-84.417357,323.1,0.000,,2013/03/09,16:35:48
11755,33.738125,-84.417389,322.2,0.000,,2013/03/09,16:35:52
11756,33.738122,-84.417440,321.2,0.000,,2013/03/09,16:35:58
11757,33.738109,-84.417587,321.2,0.000,,2013/03/09,16:36:05
